id,nome,email,senha,cpf,descricao,dificuldade
1,usuario1,pessoa1@gmail.com,11111111,2147483647,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
2,usuario2,pessoa2@gmail.com,11111111,2147483649,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
3,usuario3,pessoa3@gmail.com,11111111,2147483651,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
5,usuario4,pessoa4@gmail.com,11111111,2147483653,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
6,usuario5,pessoa5@gmail.com,11111111,2147483655,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
7,usuario6,pessoa6@gmail.com,11111111,2147483657,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
8,usuario7,pessoa7@gmail.com,11111111,2147483659,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
9,usuario8,pessoa8@gmail.com,11111111,2147483661,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
10,usuario9,pessoa9@gmail.com,11111111,2147483663,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
11,usuario10,pessoa10@gmail.com,11111111,2147483665,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
12,usuario11,pessoa11@gmail.com,11111111,2147483667,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
13,usuario12,pessoa12@gmail.com,11111111,2147483669,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
14,usuario13,pessoa13@gmail.com,11111111,2147483671,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
15,usuario14,pessoa14@gmail.com,11111111,2147483673,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
16,usuario15,pessoa15@gmail.com,11111111,2147483675,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
17,usuario16,pessoa16@gmail.com,11111111,2147483677,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
18,usuario17,pessoa17@gmail.com,11111111,2147483679,"deficiencia motora, cadeirante",andar pelas ruas que não tem a devida acessibilidade por falta  de fiscalização governamental
